epoch,loss,accuracy,val_loss,val_accuracy,val_f1
,1.6818193197250366,0.42591267824172974,1.1954431533813477,0.5947338342666626,0.5851631019936846
,1.297239899635315,0.554760217666626,1.0104293823242188,0.6783056855201721,0.6709458520813603
,1.1340785026550293,0.6157480478286743,0.8592621684074402,0.7223812341690063,0.715942754517437
,0.9961273074150085,0.6635648012161255,0.7671264410018921,0.7532913684844971,0.7480326067988768
,0.9052719473838806,0.6947745084762573,0.6557390689849854,0.7870635390281677,0.7819787389870819
,0.8292909264564514,0.7241231203079224,0.6313474178314209,0.7933600544929504,0.788162842072708
,0.7701442241668701,0.7423049211502075,0.5558592081069946,0.8214081525802612,0.8192762443473158
,0.7433614730834961,0.7445955872535706,0.5194826722145081,0.8357183933258057,0.8347607209049066
,0.7019971609115601,0.7656406760215759,0.4954673945903778,0.8374356031417847,0.836201537064632
,0.6445363759994507,0.7809591889381409,0.5078953504562378,0.8357183933258057,0.8330533590704599
,0.6306666731834412,0.7882605791091919,0.456193745136261,0.8620492219924927,0.862240055952663
,0.6077917218208313,0.7886900305747986,0.4463243782520294,0.8580423593521118,0.8564061290994596
,0.5861178040504456,0.7981388568878174,0.43668368458747864,0.8631940484046936,0.8613548840143793
,0.5532488822937012,0.809735119342804,0.4192453622817993,0.8631940484046936,0.8601802832340899
,0.5283759832382202,0.8191839456558228,0.4064599275588989,0.875787079334259,0.875026385088983
,0.5284684300422668,0.8203292489051819,0.39626049995422363,0.8712077736854553,0.8706590427166809
,0.5136330723762512,0.8243378400802612,0.3794671297073364,0.8855180144309998,0.884985533402214
,0.494393527507782,0.8261989951133728,0.38974684476852417,0.8763594627380371,0.8759051974276206
,0.5013434290885925,0.8326413631439209,0.34921592473983765,0.8935317397117615,0.894217905481828
,0.4685235321521759,0.8356478214263916,0.3655897080898285,0.880366325378418,0.8795894042055086
,0.4472288191318512,0.8430923223495483,0.3340165615081787,0.8900973200798035,0.8897960038425988
,0.45076942443847656,0.8486757278442383,0.33760249614715576,0.8986834287643433,0.8991403632264771
,0.4364193379878998,0.8488188982009888,0.3402995765209198,0.8969662189483643,0.8966873599131757
,0.4323776662349701,0.8478167653083801,0.357862651348114,0.8963938355445862,0.8965086426763279
,0.4213184118270874,0.8604151606559753,0.31696462631225586,0.9026903510093689,0.902536920407882
,0.42371630668640137,0.8506800532341003,0.3225035071372986,0.8969662189483643,0.8969478166489193
,0.39647331833839417,0.8675733804702759,0.32140418887138367,0.900400698184967,0.9004685402027915
,0.3974849283695221,0.8621331453323364,0.31411728262901306,0.9066972136497498,0.9070575889030572
,0.40346553921699524,0.8631352782249451,0.30512163043022156,0.9084144234657288,0.9079798404128085
